Cell Phenotype,,Cell Phenotype,0,1,Topic attribution,FCS file,Condition
N°1,100008,N°1,7.261822,14.525149,1,1532.FCS,normal
N°1,68026,N°1,8.257103,13.230639,1,1860.FCS,normal
N°1,156720,N°1,8.3323965,11.654246,1,1108.FCS,normal
N°1,350270,N°1,9.854983,13.536795,1,0708.FCS,aml
N°1,132972,N°1,9.807273,16.793066,1,1276.FCS,normal
N°1,260167,N°1,11.204713,13.666639,1,0716.FCS,normal
N°1,260607,N°1,8.912265,12.861349,1,0716.FCS,normal
N°1,255776,N°1,10.814252,16.618292,1,0780.FCS,normal
N°1,289897,N°1,10.691,15.266605,1,2772.FCS,normal
N°1,262031,N°1,10.9850445,16.29044,1,0716.FCS,normal
N°1,14539,N°1,7.366611,14.485412,1,1508.FCS,normal
N°1,163866,N°1,9.109422,15.687097,1,2172.FCS,normal
N°1,165063,N°1,8.857404,16.137829,1,2172.FCS,normal
N°1,275019,N°1,8.611626,14.4744,1,0420.FCS,normal
N°1,19003,N°1,10.707193,16.030563,1,1508.FCS,normal
N°1,149013,N°1,10.380054,14.059638,1,2684.FCS,normal
N°1,289157,N°1,8.752096,14.361164,1,2772.FCS,normal
N°1,257693,N°1,11.712281,12.900239,1,0716.FCS,normal
N°1,130643,N°1,6.441722,13.3932905,1,1276.FCS,normal
N°1,108500,N°1,11.988017,13.678585,1,1644.FCS,normal
N°1,149900,N°1,10.865772,15.686492,1,2684.FCS,normal
N°1,69374,N°1,6.6570644,13.463979,1,1860.FCS,normal
N°1,98313,N°1,11.212512,15.448847,1,1532.FCS,normal
N°1,131324,N°1,10.036971,15.773755,1,1276.FCS,normal
N°1,263162,N°1,8.205394,12.364241,1,0428.FCS,normal
N°1,139426,N°1,9.51941,14.896925,1,2548.FCS,normal
N°1,167015,N°1,11.240184,12.9674015,1,2172.FCS,normal
N°1,6739,N°1,8.466386,11.978091,1,0316.FCS,normal
N°1,33248,N°1,8.498058,17.231455,1,2396.FCS,normal
N°1,154220,N°1,7.101358,14.841032,1,2420.FCS,normal
N°1,407580,N°1,7.899704,11.155536,1,1372.FCS,aml
N°1,66155,N°1,9.982571,13.18608,1,1860.FCS,normal
N°1,237668,N°1,8.768123,15.861482,1,1036.FCS,normal
N°1,131241,N°1,9.662339,16.072617,1,1276.FCS,normal
N°1,26292,N°1,7.590063,12.935773,1,0724.FCS,normal
N°1,163074,N°1,8.189992,16.461777,1,2172.FCS,normal
N°1,371921,N°1,7.425628,13.050457,1,0924.FCS,aml
N°1,19667,N°1,7.782745,12.463415,1,1508.FCS,normal
N°1,178344,N°1,9.071619,15.022078,1,2756.FCS,normal
N°1,181106,N°1,8.16564,15.666633,1,2756.FCS,normal
N°1,86839,N°1,10.162696,16.116144,1,1340.FCS,normal
N°1,3367,N°1,11.966535,15.733803,1,1572.FCS,normal
N°1,196522,N°1,11.120246,14.415619,1,2180.FCS,normal
N°1,48030,N°1,8.111786,16.632698,1,0100.FCS,normal
N°1,157302,N°1,8.799776,16.438152,1,1108.FCS,normal
N°1,168132,N°1,11.53117,13.939453,1,2172.FCS,normal
N°1,297545,N°1,11.271872,16.11343,1,1700.FCS,normal
N°1,17549,N°1,7.8044124,12.080876,1,1508.FCS,normal
N°1,367212,N°1,8.136142,13.376221,1,0836.FCS,aml
N°1,375759,N°1,9.472415,16.011423,1,0924.FCS,aml
N°1,310156,N°1,8.15714,13.336278,1,0052.FCS,aml
N°1,274555,N°1,9.514609,15.357993,1,0420.FCS,normal
N°1,234347,N°1,12.4236555,13.211901,1,1036.FCS,normal
N°1,106562,N°1,9.3831835,15.972419,1,1644.FCS,normal
N°1,365231,N°1,9.244895,17.491377,1,0820.FCS,aml
N°1,264063,N°1,6.7288866,14.050803,1,0428.FCS,normal
N°1,140026,N°1,9.68472,14.218415,1,2548.FCS,normal
N°1,138972,N°1,9.894003,13.995239,1,2548.FCS,normal
N°1,8627,N°1,7.771411,14.786656,1,0316.FCS,normal
N°1,121179,N°1,11.070466,14.647637,1,0060.FCS,normal
N°1,156026,N°1,7.4924335,13.550402,1,1108.FCS,normal
N°1,293594,N°1,11.447692,15.72791,1,1700.FCS,normal
N°1,152433,N°1,9.549109,11.531781,1,2420.FCS,normal
N°1,160094,N°1,8.509031,14.772916,1,1108.FCS,normal
N°1,223421,N°1,8.435716,13.124404,1,0028.FCS,normal
N°1,281433,N°1,6.6824555,14.113967,1,1660.FCS,normal
N°1,274807,N°1,8.796251,9.606875,1,0420.FCS,normal
N°1,4470,N°1,9.961676,17.752789,1,1572.FCS,normal
N°1,142340,N°1,11.214108,12.573867,1,2548.FCS,normal
N°1,230772,N°1,11.169784,15.39806,1,2476.FCS,normal
N°1,40248,N°1,7.5736656,13.150567,1,0236.FCS,normal
N°1,447019,N°1,11.435827,13.202726,1,1884.FCS,aml
N°1,275091,N°1,8.786781,15.947831,1,0420.FCS,normal
N°1,375870,N°1,9.347757,16.128113,1,0924.FCS,aml
N°1,129086,N°1,10.099597,13.499738,1,1452.FCS,normal
N°1,307638,N°1,7.921756,15.718439,1,0052.FCS,aml
N°1,230382,N°1,8.9221945,17.48547,1,2476.FCS,normal
N°1,150930,N°1,11.939648,13.502448,1,2684.FCS,normal
N°1,131011,N°1,7.8532796,15.219956,1,1276.FCS,normal
N°1,24136,N°1,7.8015027,16.250576,1,0724.FCS,normal
N°1,363911,N°1,9.942421,13.248778,1,0820.FCS,aml
N°1,186202,N°1,11.258124,15.679584,1,1260.FCS,normal
N°1,262862,N°1,8.938651,16.825188,1,0428.FCS,normal
N°1,370646,N°1,9.901804,15.695003,1,0836.FCS,aml
N°1,82163,N°1,9.784007,15.497318,1,0564.FCS,normal
N°1,146078,N°1,11.930621,13.88001,1,2684.FCS,normal
N°1,221032,N°1,11.834094,15.74356,1,0028.FCS,normal
N°1,12675,N°1,12.131913,13.258674,1,0316.FCS,normal
N°1,240588,N°1,10.82853,16.556515,1,2020.FCS,normal
N°1,333413,N°1,10.360265,12.683097,1,0388.FCS,aml
N°1,238563,N°1,9.988297,15.904829,1,1036.FCS,normal
N°1,1070,N°1,8.277025,9.031035,1,1572.FCS,normal
N°1,138394,N°1,10.750442,13.660144,1,2548.FCS,normal
N°1,196057,N°1,8.625989,15.608019,1,0540.FCS,normal
N°1,264891,N°1,7.0395713,12.92136,1,0428.FCS,normal
N°1,96308,N°1,7.0090885,14.065144,1,1492.FCS,normal
N°1,134897,N°1,11.289483,14.32286,1,1276.FCS,normal
N°1,145214,N°1,10.1628475,16.099127,1,2684.FCS,normal
N°1,156552,N°1,8.657755,14.296868,1,1108.FCS,normal
N°1,252605,N°1,9.124526,17.572514,1,0780.FCS,normal
N°1,124566,N°1,10.278602,12.485403,1,1452.FCS,normal
N°1,263741,N°1,9.760071,16.54287,1,0428.FCS,normal
N°1,319661,N°1,8.838872,10.456204,1,0260.FCS,aml
N°1,98316,N°1,11.061372,15.181526,1,1532.FCS,normal
N°1,151149,N°1,9.127236,11.45191,1,2420.FCS,normal
N°1,293405,N°1,11.116548,16.56988,1,1700.FCS,normal
N°1,15154,N°1,8.409101,13.182197,1,1508.FCS,normal
N°1,470640,N°1,9.176079,10.907894,1,2276.FCS,aml
N°1,279767,N°1,7.4549613,15.251345,1,0164.FCS,normal
N°1,31425,N°1,7.8732147,13.544492,1,0876.FCS,normal
N°1,196441,N°1,8.494863,14.003454,1,2180.FCS,normal
N°1,167634,N°1,7.271245,13.5499735,1,2172.FCS,normal
N°1,246903,N°1,10.432623,16.281813,1,0980.FCS,normal
N°1,75094,N°1,7.1675324,13.946888,1,1788.FCS,normal
N°1,15631,N°1,11.492622,15.617071,1,1508.FCS,normal
N°1,9286,N°1,7.937523,15.13213,1,0316.FCS,normal
N°1,109413,N°1,9.793043,10.614025,1,1644.FCS,normal
N°1,56157,N°1,11.605776,12.152658,1,0588.FCS,normal
N°1,116823,N°1,8.067038,15.553225,1,0396.FCS,normal
N°1,109886,N°1,8.132742,11.530224,1,1644.FCS,normal
N°1,27096,N°1,9.084436,12.059527,1,0876.FCS,normal
N°1,136800,N°1,7.252272,13.665901,1,2548.FCS,normal
N°1,198543,N°1,11.616273,12.826438,1,2180.FCS,normal
N°1,73178,N°1,10.926506,14.904039,1,1860.FCS,normal
N°1,223411,N°1,6.295676,14.16407,1,0028.FCS,normal
N°1,9704,N°1,10.08544,15.271889,1,0316.FCS,normal
N°1,49567,N°1,9.288459,15.140415,1,0100.FCS,normal
N°1,49210,N°1,9.032965,11.978702,1,0100.FCS,normal
N°1,234456,N°1,6.6414332,14.07411,1,1036.FCS,normal
N°1,279856,N°1,9.370905,15.852093,1,1660.FCS,normal
N°1,281026,N°1,8.490932,14.037047,1,1660.FCS,normal
N°1,131008,N°1,8.850818,12.29919,1,1276.FCS,normal
N°1,123245,N°1,8.269522,12.699592,1,0060.FCS,normal
N°1,168164,N°1,9.253624,12.835622,1,2172.FCS,normal
N°1,101575,N°1,7.3430276,15.67336,1,1532.FCS,normal
N°1,276240,N°1,9.470669,14.09273,1,0164.FCS,normal
N°1,444315,N°1,8.376123,13.1053705,1,1884.FCS,aml
N°1,173224,N°1,7.92056,15.035684,1,0692.FCS,normal
N°1,145287,N°1,7.1481752,14.802343,1,2684.FCS,normal
N°1,251808,N°1,9.836736,16.784975,1,0780.FCS,normal
N°1,100570,N°1,7.8997717,15.903772,1,1532.FCS,normal
N°1,77549,N°1,8.144512,12.845832,1,1628.FCS,normal
N°1,271800,N°1,8.272131,11.735095,1,0420.FCS,normal
N°1,11099,N°1,10.299203,15.611311,1,0316.FCS,normal
N°1,176842,N°1,10.974934,13.847366,1,2756.FCS,normal
N°1,228003,N°1,6.984459,14.530347,1,2476.FCS,normal
N°1,281553,N°1,10.789507,14.067944,1,1660.FCS,normal
N°1,125928,N°1,11.1003065,12.474048,1,1452.FCS,normal
N°1,345554,N°1,8.157743,13.03657,1,0700.FCS,aml
N°1,165753,N°1,8.346599,16.175493,1,2172.FCS,normal
N°1,36972,N°1,9.097509,17.544443,1,2396.FCS,normal
N°1,257973,N°1,10.261765,13.633131,1,0716.FCS,normal
N°1,40331,N°1,9.186379,12.535283,1,0236.FCS,normal
N°1,351692,N°1,10.920183,13.908973,1,0756.FCS,aml
N°1,256366,N°1,8.639444,17.068672,1,0780.FCS,normal
N°1,96475,N°1,11.59531,14.661861,1,1532.FCS,normal
N°1,318328,N°1,8.654543,11.93035,1,0260.FCS,aml
N°1,6041,N°1,10.413183,17.456263,1,1572.FCS,normal
N°1,22542,N°1,6.9364924,14.261757,1,0724.FCS,normal
N°1,29974,N°1,8.138999,14.126781,1,0876.FCS,normal
N°1,425403,N°1,10.20168,14.4000435,1,1684.FCS,aml
N°1,79487,N°1,7.233603,14.058952,1,1628.FCS,normal
N°1,162955,N°1,10.593296,13.1625,1,2172.FCS,normal
N°1,83079,N°1,8.276352,16.000336,1,0564.FCS,normal
N°1,306555,N°1,7.770116,13.987905,1,0052.FCS,aml
N°1,181810,N°1,8.4956255,10.255055,1,2756.FCS,normal
N°1,26321,N°1,8.512737,12.177599,1,0724.FCS,normal
N°1,254754,N°1,8.944899,12.276601,1,0780.FCS,normal
N°1,370530,N°1,10.346028,12.933118,1,0836.FCS,aml
N°1,286406,N°1,9.402821,16.903297,1,1660.FCS,normal
N°1,13960,N°1,10.950104,16.894577,1,1508.FCS,normal
N°1,229083,N°1,11.358923,14.221766,1,2476.FCS,normal
N°1,101029,N°1,9.139756,17.662033,1,1532.FCS,normal
N°1,11966,N°1,11.457436,14.085316,1,0316.FCS,normal
N°1,278417,N°1,8.214395,14.787667,1,0164.FCS,normal
N°1,15895,N°1,7.4518323,12.306377,1,1508.FCS,normal
N°1,278954,N°1,9.098129,14.624097,1,0164.FCS,normal
N°1,128042,N°1,7.780836,14.9809885,1,1452.FCS,normal
N°1,372028,N°1,6.633168,13.45994,1,0924.FCS,aml
N°1,78348,N°1,7.2878175,15.106345,1,1628.FCS,normal
N°1,15439,N°1,9.1772175,12.4594145,1,1508.FCS,normal
N°1,294936,N°1,9.447727,17.845572,1,1700.FCS,normal
N°1,275259,N°1,7.2711363,14.215141,1,0420.FCS,normal
N°1,159954,N°1,11.172337,13.297811,1,1108.FCS,normal
N°1,143117,N°1,10.403331,15.218848,1,2684.FCS,normal
N°1,229822,N°1,11.891576,15.402266,1,2476.FCS,normal
N°1,137787,N°1,10.982612,12.463949,1,2548.FCS,normal
N°1,372338,N°1,11.537082,13.979928,1,0924.FCS,aml
N°1,148654,N°1,7.482626,15.181584,1,2684.FCS,normal
N°1,127734,N°1,8.432606,11.767127,1,1452.FCS,normal
N°1,20646,N°1,9.319342,9.5247965,1,0724.FCS,normal
N°1,133485,N°1,7.6085963,14.778146,1,1276.FCS,normal
N°1,272999,N°1,7.2011795,13.159084,1,0420.FCS,normal
N°1,191135,N°1,12.329404,14.61147,1,1260.FCS,normal
N°1,125666,N°1,7.7670755,14.502137,1,1452.FCS,normal
N°1,23382,N°1,8.614594,13.956259,1,0724.FCS,normal
N°1,262205,N°1,10.510254,13.987952,1,0716.FCS,normal
N°1,22691,N°1,8.379791,13.062464,1,0724.FCS,normal
N°1,251334,N°1,9.827307,16.757862,1,0780.FCS,normal
N°1,242194,N°1,7.3187103,12.079437,1,2020.FCS,normal
N°1,270132,N°1,8.037588,15.355355,1,0420.FCS,normal
N°1,119781,N°1,8.544866,12.412596,1,0060.FCS,normal
N°1,105274,N°1,11.693218,13.874166,1,1644.FCS,normal
N°1,34412,N°1,9.530677,15.745826,1,2396.FCS,normal
N°1,307381,N°1,11.890662,13.313826,1,0052.FCS,aml
N°1,94425,N°1,10.818731,14.256688,1,1492.FCS,normal
N°1,281470,N°1,8.089591,16.667412,1,1660.FCS,normal
N°1,18177,N°1,7.8470387,11.790161,1,1508.FCS,normal
N°1,57591,N°1,11.067964,13.153794,1,0588.FCS,normal
N°1,71341,N°1,10.091567,14.54205,1,1860.FCS,normal
N°1,27869,N°1,7.7355285,15.026154,1,0876.FCS,normal
N°1,119207,N°1,10.060254,14.364079,1,0060.FCS,normal
N°1,170987,N°1,12.623246,14.423658,1,0692.FCS,normal
N°1,291299,N°1,9.498177,16.339376,1,2772.FCS,normal
N°1,286656,N°1,6.624681,13.706828,1,2772.FCS,normal
N°1,374149,N°1,11.826667,14.455012,1,0924.FCS,aml
N°1,180130,N°1,7.8074765,15.922688,1,2756.FCS,normal
N°1,235841,N°1,8.062038,10.150919,1,1036.FCS,normal
N°1,251394,N°1,10.748328,17.02996,1,0780.FCS,normal
N°1,26487,N°1,7.9519987,15.047195,1,0724.FCS,normal
N°1,162084,N°1,8.222761,16.313976,1,2172.FCS,normal
N°1,155695,N°1,6.8415422,12.957897,1,1108.FCS,normal
N°1,240343,N°1,12.48819,14.40558,1,2020.FCS,normal
N°1,61413,N°1,9.351382,16.00424,1,0764.FCS,normal
N°1,270865,N°1,8.328551,16.208435,1,0420.FCS,normal
N°1,494026,N°1,9.829376,13.24673,1,2716.FCS,aml
N°1,222803,N°1,9.594186,17.4251,1,0028.FCS,normal
N°1,262283,N°1,9.505816,15.897272,1,0716.FCS,normal
N°1,238248,N°1,8.982691,11.38138,1,1036.FCS,normal
N°1,50062,N°1,8.050357,12.694522,1,0100.FCS,normal
N°1,480877,N°1,9.900814,13.1806135,1,2508.FCS,aml
N°1,111138,N°1,7.780779,14.394254,1,0396.FCS,normal
N°1,259784,N°1,6.9993067,14.948725,1,0716.FCS,normal
N°1,105410,N°1,8.250551,12.585949,1,1644.FCS,normal
